Sr. No.,Scrip Code,Name of Company,TICKER
1039,540724,Prataap Snacks Limited,DIAMOND
1040,543328,Krsnaa Diagnostics Limited,KRSNAA
1041,544042,Bajel Projects Limited,BAJEL
1042,532859,Hinduja Global Solutions Limited,HGS
1043,523385,Nilkamal Limited,NILKAMAL
1044,523606,Sika Interplant Systems Ltd.,SIKA
1045,532851,Insecticides India Ltd.,INSECTICID
1046,533344,PTC India Financial Services Limited,PTCIL
1047,542905,Hindware Home Innovation Limited,HINDWARE
1048,544470,M & B ENGINEERING LIMITED,M&B
1049,509243,TVS Srichakra Ltd.,TVSSRICHAK
1050,543989,Sai Silks (Kalamandir) Limited,SAISILKS
1051,526227,Filatex India Ltd.,FILATEX
1052,524091,CARYSIL LIMITED,CARYSIL
1053,522101,Kilburn Engineering Ltd,KILBURN
1054,533080,Mold-Tek Packaging Limited,MOLDTKPAC
1055,504212,Universal Cables Ltd.,UNIVCABLES
1056,532945,SEPC LIMITED,SEPC
1057,544142,Shipping Corporation of India Land and Assets Limited,SCILAL
1058,543321,Tatva Chintan Pharma Chem Limited,TATVA
1059,534392,Vardhman Special Steels Ltd,VSSL
1060,543214,NDR Auto Components Limited,NDR
1061,544386,Spectrum Electrical Industries Limited,SEIL
1062,543711,Sula Vineyards Limited,SULA
1063,522249,Mayur Uniquoters ltd.,MAYURUNIQ
1064,539895,SPICE LOUNGE FOOD WORKS LIMITED,SPICEL
1065,543311,India Pesticides Limited,IPL
1066,543972,Aeroflex Industries Limited,AEROFLEX
1067,542727,CITY PULSE MULTIVENTURES LIMITED,CPM
1068,523127,EIH Associated Hotels Ltd.,EIHAHOTELS
1069,500672,Novartis India Limited.,NOVARTIS
1070,532848,Delta Corp Limited,DELTACORP
1071,533306,SUMMIT SECURITIES LTD.,SUMMITSEC
1072,543686,Sirca Paints India Limited,SIRCA
1073,544243,Baazar Style Retail Limited,BAAZAR
1074,543386,Fino Payments Bank Limited,FINOPAYTECH
1075,500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPUNL
1076,540797,Shalby Limited,SHALBY
1077,530943,Sri Adhikari Brothers Television Ne,SABEVENTS
1078,500186,Hindustan Oil Exploration Co. Ltd.,HINDOIL
1079,500168,Goodyear India Ltd.,GOODYEAR
1080,526807,Seamec Ltd,SEAMECLTD
1081,543714,LANDMARK CARS LIMITED,LANDMARK
1082,532815,SMS Pharmaceuticals Ltd,SMSPHARMA
1083,543932,IDEAFORGE TECHNOLOGY LIMITED,IDEAFORGE
1084,500117,DCW Ltd.,DCW
1085,512237,Jai Corp Limited,JAICORPLTD
1086,539199,SG FINSERVE LIMITED,SGFSL
1087,543331,Meghmani Organics Limited,MEGHMANI
1088,532285,Geojit Financial Services Limited,GEOJITFSL
1089,532663,Sasken Technologies Limited,SASKEN
1090,541167,YASHO INDUSTRIES LIMITED,YASHO
1091,533302,Kalyani Investment Company Limited,KICL
1092,513517,Steelcast Ltd.,STEELCAST
1093,523261,Venky's (India) ltd.,VENKYS
1094,544540,Epack Prefab Technologies Limited,EPACK
1095,544224,Afcom Holdings Limited,AFCOM
1096,544133,EXICOM TELE-SYSTEMS LIMITED,EXICOM
1097,505800,Rane Holdings Ltd.,RANEHOLDIN
1098,505196,TIL Ltd.,TIL
1099,531449,GRM Overseas Ltd.,GRMOVER
1100,521238,BHARAT GLOBAL DEVELOPERS LIMITED,BGDL
1101,526783,Dr.Agarwals Eye Hospital Ltd.,AGARWALE
1102,541403,Dollar Industries Limited,DOLLAR
1103,512068,Deccan Gold Mines Ltd.,DECCAN
1104,533267,CANTABIL RETAIL INDIA LIMITED,CANTABIL
1105,535136,NIBE LIMITED,NIBE
1106,532268,ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA
1107,504741,Indian Hume Pipe Co. Ltd.,INDIANHUME
1108,523838,Simplex Infrastructures Limited,SIMPLEXINF
1109,514234,Sangam (India) Ltd,SANGAMIND
1110,543449,WONDER ELECTRICALS LIMITED,WONDER
1111,500306,Jaykay Enterprises Limited,JKAYENT
1112,532309,GE Power India Limited,GEPIL
1113,544339,Laxmi Dental Limited,LAXMIDEN
1114,500147,JOHN COCKERILL INDIA LIMITED,JOHNCOC
1115,543260,STOVE KRAFT LIMITED,STOVEKRAFT
1116,502157,Mangalam Cement Ltd.,MANGLMCEM
1117,532661,Rane (Madras)  Ltd.,RANEMADRAS
1118,544294,Rossell Techsys Limited,ROSSELTECH
1119,500333,Pix Transmissions Ltd.,PIXTRANS
1120,517035,RIR POWER ELECTRONICS LIMITED,RIRPOWER
1121,531548,Somany Ceramics Limited,SOMANYCERA
1122,544305,One Mobikwik Systems Limited,MOBIKWIK
1123,540795,Dynamic Cables Limited,DYNACONS
1124,513250,Jyoti Structures Ltd.,JYOTISTRUC
1125,504112,Nelco Ltd,NELCO
1126,532698,Nitin Spinners Ltd.,NITINSPIN
1127,532717,Indo Tech Transformers Limited,INDOTHT
1128,500068,Disa India Ltd.,DISA
1129,543411,HI-TECH PIPES LIMITED,HITECH
1130,533107,SWAN DEFENCE AND HEAVY INDUSTRIES LIMITED,SWANENERGY
1131,524820,Panama Petrochem Ltd.,PANAMA
1132,544119,Rashi Peripherals Limited,RASHI
1133,532775,GTL Infrastructure Limited,GTLINFRA
1134,543273,Knowledge Marine & Engineering Works Limited,KMEW
1135,543329,Windlas Biotech Limited,WINDLAS
1136,523694,Apcotex Industries Limited,APCOTEXIND
1137,531717,Vidhi Specialty Food Ingredients Limited,VIDHIING
1138,540048,S.P. Apparels Limited,SPAL
1139,511742,UGRO CAPITAL LIMITED,UGROCAP
1140,542759,Spandana Sphoorty Financial Limited,SPANDANA
1141,543230,ADVAIT ENERGY TRANSITIONS LIMITED,ADVAIT
1142,540425,Shankara Building Products Limited,SHANKARA
1143,507526,Associated Alcohols & Breweries Ltd,ASSOALC
1144,544512,SHRINGAR HOUSE OF MANGALSUTRA LIMITED,SHRINGAR
1145,544198,DEE DEVELOPMENT ENGINEERS LIMITED,DEE
1146,507878,Unitech Ltd.,UNITECH
1147,517522,Rajratan Global Wire Ltd,RAJRATAN
1148,512038,TCC CONCEPT LIMITED,TCC
1149,543514,Veranda Learning Solutions Limited,VERANDA
1150,523618,Dredging Corporation of India Ltd.,DREDGECORP
1151,544053,Motisons Jewellers Limited,MOTISONS
1152,543812,DIVGI TORQTRANSFER SYSTEMS LIMITED,DIVGI
1153,500460,Mukand Ltd.,MUKANDLTD
1154,544479,ALL TIME PLASTICS LIMITED,ALLTIME
1155,505412,Wendt (India) Ltd.,WENDT
1156,522257,Rajoo Engineers Ltd.,RAJOOENG
1157,543399,Tarsons Products Limited,TARSONS
1158,543992,YATRA ONLINE LIMITED,YATRA
1159,532686,Kernex Microsystems (India) Ltd.,KERNEX
1160,543996,Updater Services Limited,UDS
1161,532485,Balmer Lawrie Investments Ltd.,BLIL
1162,532240,India Nippon Electricals Ltd,INDIA-NIPP
1163,539636,Precision Camshafts Limited,PRECICAM
1164,517015,Vindhya Telelinks Ltd.,VINDHYATEL
1165,544202,STANLEY LIFESTYLES LIMITED,STANLEY
1166,533303,BF Investment Limited,BFINVEST
1167,544456,R M DRIP AND SPRINKLERS SYSTEMS LIMITED,R M DRIP
1168,505725,ALGOQUANT FINTECH LIMITED,ALGOQUANT
1169,540774,IFGL Refractories Limited,IFGLEXPOR
1170,544167,JNK India Limited,JNKIND
1171,543974,VISHNU PRAKASH R PUNGLIA LIMITED,VPRPL
1172,511034,Jindal Drilling & Industries Ltd.,JINDRILL
1173,543689,Uniparts India Limited,UNIPARTS
1174,540717,Polo Queen Industrial and Fintech Limited ,POLOQUEEN
1175,532366,PNB Gilts Ltd,PNBGILTS
1176,533146,D-Link (India) Ltd,DLINKINDIA
1177,532650,MSP STEEL & POWER LTD.,MSPSTEL
1178,505504,GHV INFRA PROJECTS LIMITED,GHV
1179,505160,Talbros Automotive Components Ltd.,TALBROAUTO
1180,539332,Navkar Corporation Limited,NAVKAR
1181,531761,APOLLO PIPES LIMITED,APOLLO
1182,517041,Ador Welding Ltd.,ADORWELD
1183,544336,Quadrant Future Tek Limited,QUADRANT
1184,539678,Quick Heal Technologies Limited,QUICKHEAL
1185,506480,GOCL Corporation Limited,GOCL
1186,507488,G.M. Breweries Ltd.,GMBREW
1187,502450,Seshasayee Paper & Boards Ltd.,SESHAPAPER
1188,514043,Himatsingka Seide Ltd.,HIMATSINGK
1189,500402,SPML Infra Limited,SPMLINFRA
1190,526506,Systematix Corporate Services Ltd.,SYSTX
1191,538920,VINTAGE COFFEE AND BEVERAGES LIMITED,VINTAGE
1192,507747,TTK Healthcare Ltd.,TTKHLTCARE
1193,533138,ASTEC LIFESCIENCES LIMITED,ASTEC
1194,539309,Rama Steel Tubes Limited,RAMASTEEL
1195,533137,DEN Networks Limited,DEN
1196,526829,Confidence Petroleum India Limited,CONFIPET
1197,524470,Syncom Formulations (India) Ltd.,SYNCOM
1198,544316,DAM Capital Advisors Limited,DAMCAP
1199,544107,BLS E-Services Limited,BLSE
1200,539404,SATIN CREDITCARE NETWORK LIMITED,SATIN
1201,544138,J.G.Chemicals Limited,J G CHEM
1202,522195,Frontier Springs Ltd.,FRONTIER
1203,511768,Master Trust Ltd.,MASTERTR
1204,533121,EXPLEO SOLUTIONS LIMITED,EXPLEO
1205,543254,Antony Waste Handling Cell Limited,ANTONYWASTE
1206,544217,SANSTAR LIMITED,SANSTAR
1207,532742,PAUSHAK LIMITED (formerly known as Darshak Limited),PAUSHAKL
1208,509820,HUHTAMAKI INDIA LIMITED,HUHTAMAKI
1209,523105,CROPSTER AGRO LIMITED,CROPSTER
1210,532370,Ramco Systems Ltd,RAMCOSYS
1211,543542,KESAR INDIA LIMITED,KESAR
1212,526521,Sanghi Industries Ltd.,SANGHIIND
